Fecha	Vista	
07/02/2020	237914945,11	
06/02/2020	139998112,72	
05/02/2020	16112152,16	
04/02/2020	46091578,38	
03/02/2020	226298660,23	
31/01/2020	92716562,72	
30/01/2020	47674078,50	
29/01/2020	126128898,48	
28/01/2020	236180773,27	
27/01/2020	274281561,90	
24/01/2020	216131705,74	
23/01/2020	265788742,33	
22/01/2020	42772575,41	
21/01/2020	189068899,12	
17/01/2020	15339547,90	
16/01/2020	188912325,77	
15/01/2020	285296393,25	
14/01/2020	23605214,77	
13/01/2020	168797752,86	
10/01/2020	55581270,67	
09/01/2020	233854030,50	
08/01/2020	145836689,72	
07/01/2020	135971384,40	
03/01/2020	73515093,00	
02/01/2020	297332471,32	
30/12/2019	77499278,67	
27/12/2019	29178244,37	
26/12/2019	117099849,41	
23/12/2019	243611987,18	
20/12/2019	25420873,78	
19/12/2019	263073540,20	
18/12/2019	31736201,52	
17/12/2019	66839830,05	
16/12/2019	123330963,31	
13/12/2019	31565857,88	
12/12/2019	296957204,93	
11/12/2019	125842447,94	
10/12/2019	142682881,65	
09/12/2019	292629835,54	
06/12/2019	24631967,12	
05/12/2019	127196392,53	
04/12/2019	151500174,72	
03/12/2019	158261815,33	
02/12/2019	42706244,94	
29/11/2019	221882354,22	
28/11/2019	206023682,15	
27/11/2019	175297755,22	
26/11/2019	43168060,69	
25/11/2019	148708766,15	
22/11/2019	31390158,11	
21/11/2019	69370154,14	
20/11/2019	182279958,43	
19/11/2019	79113705,71	
18/11/2019	218204455,06	
15/11/2019	134177163,73	
14/11/2019	269444409,81	
13/11/2109	39306094,13	
12/11/2109	78636451,87	
11/11/2019	224203377,74	
08/11/2019	80885581,22	
07/11/2019	280474892,75	
06/11/2019	41705704,30	
05/11/2019	175310758,13	
01/11/2019	132923991,53	
31/10/2019	120513294,67	
30/10/2019	286418231,78	
29/10/2019	58286123,60	
28/10/2019	66280845,51	
25/10/2019	27437446,72	
24/10/2019	114798756,77	
23/10/2019	212405750,76	
22/10/2019	110680035,81	
21/10/2019	18382398,50	
18/10/2019	133625892,01	
17/10/2019	243185521,32	
16/10/2019	36736923,87	
15/10/2019	42027916,84	
14/10/2019	91208253,70	
11/10/2019	197545463,75	
10/10/2019	132532644,35	
09/10/2019	83111122,73	
08/10/2019	93229622,79	
07/10/2019	16475792,21	
04/10/2019	201465623,05	
03/10/2019	16870621,11	
02/10/2019	241724979,08	
01/10/2019	96286491,48	
30/09/2019	266852015,80	
27/09/2019	284804492,73	
26/09/2019	62035031,03	
25/09/2019	220435153,46	
24/09/2019	144826555,58	
23/09/2019	12049962,44	
20/09/2019	221670172,88	
19/09/2019	164779520,40	
18/09/2019	274236917,72	
17/09/2019	20326467,10	
13/09/2019	172023651,87	
12/09/2019	113332027,15	
11/09/2019	79996865,91	
10/09/2019	170094159,58	
09/09/2019	10744302,94	
06/09/2019	295217481,34	
05/09/2019	185824763,47	
04/09/2019	135103638,41	
03/09/2019	281682974,82	
02/09/2019	259650150,57	
30/08/2019	289431268,04	
29/08/2019	278991826,50	
28/08/2019	184459397,46	
27/08/2019	39484703,50	
26/08/2019	144548425,27	
23/08/2019	150402814,37	
22/08/2019	292486486,02	
21/08/2019	146159202,11	
20/08/2019	103858571,04	
16/08/2019	113086508,30	
15/08/2019	132986545,84	
